id,text,true_label,predicted_label,correct,method,sentence_sentiments
1,i also think there are a ton of fun ideas from the gpt-4 era that are worth revisiting. what’s the opus 4.5 version of autogpt? if you’re a college student or a night/weekend hacker or something go chase those fun &amp; weird ideas! many high-payoff ideas waiting to be discovered.,neutral,positive,False,unanimous_positive,"['positive', 'neutral', 'neutral', 'neutral', 'positive']"
2,the omitted part is when AGENTS scrape data from other AGENT ai created slop that is fabricated.... the day no human created content exists to learn from. brilliant dude,negative,negative,True,unanimous_negative,"['negative', 'negative']"
3,@Ilovepie31 @TenSNeo He is not gojo for sure but that lesson was important hence: it helped him unlock a domain you know.. the thing that's a reflection of your own sense of self... It was strengthening his own sense of self and teaching him to value life more . 266 doesn't contradict that,neutral,neutral,True,contrast_mixed,"['positive', 'neutral', 'positive', 'neutral']"
4,"Or here's a much more brilliant idea: don't do it at all!!! There's a reason we have Sci-Fi movies, to give us lessons to not make such life killing regret later on.",neutral,neutral,True,fallback,"['neutral', 'neutral']"
5,"They're goin' up, up, up, it's their moment We know together they're glowin' Gonna be, gonna be golden!!! 🎵💛🇰🇷 💜♥️💚",neutral,positive,False,single_sentence,[]
6,"GPT detektors are trash, there is no way to 100% detect if text was created by AI.",negative,negative,True,single_sentence,[]
7,"Experimental wildfire predictions made by AI algorithms have been remarkably accurate with less detection time. Software-defined cameras (SDCs) assisted with AI can predict forest fires locally by detecting smoke. Cal Fire says 40% of fires since July 10 have been detected by AI before a 911 call was received – and the technology is continuing to learn and improve. The system is looking for changes on the horizon, said Alert California's Brian Norton, who spent 35 years in the fire service. Cal ",neutral,positive,False,unanimous_positive,"['positive', 'neutral', 'neutral', 'neutral', 'neutral']"
8,in description he said,neutral,neutral,True,single_sentence,[]
9,this was pretty eye opening for me,neutral,positive,False,single_sentence,[]
10,"Day 4 of learning ML: Learned about Gradient Descent , an optimization algorithm used to minimize the cost function by iteratively updating parameters (w, b) in the direction of the negative gradient to find the best model. #MachineLearning #Day4✍🏼",positive,positive,True,fallback,"['neutral', 'neutral']"
11,Ai are taking over the world and I will not let that happen!~,negative,negative,True,single_sentence,[]
12,im guessing a way to end the introduction speech,neutral,neutral,True,single_sentence,[]
13,"And the cycle of nonsense is complete, with no one learning anything.",negative,negative,True,single_sentence,[]
14,@yoonzino444 can finish before the dl po!,neutral,neutral,True,single_sentence,[]
15,Nobody will have jobs in 2 years so they won’t have to Worry about asking Alexa anything. This dude is clueless,negative,negative,True,unanimous_negative,"['negative', 'negative']"
16,"On video, he's admitting he's cheating. Thanks for self-snitching. This school needs to fail him.",neutral,negative,False,unanimous_negative,"['negative', 'negative', 'negative']"
17,"Nope. You think people have metal issues now, it will get worse. God, it makes me so sad for children being raised now😢",neutral,negative,False,unanimous_negative,"['negative', 'negative']"
18,i wish i knew about these tools earlier,positive,negative,False,single_sentence,[]
19,I saw it as hentai for a second,neutral,neutral,True,single_sentence,[]
20,"My teacher accused me of AI and said it was ""unreliable"", while the tool she used to check if my essay was AI was ChatGPT.",negative,negative,True,single_sentence,[]
21,When Teachers actually become Smart:,positive,neutral,False,single_sentence,[]
22,"Artificial Intelligence Exploitation Prevention Act (AIEPA) Section 1. Short Title This Act may be cited as the “Artificial Intelligence Exploitation Prevention Act.” Section 2. Purpose The purpose of this Act is to: Protect individuals — including celebrities and private citizens — from exploitation through artificial intelligence. Prevent the creation and distribution of non-consensual AI-generated likenesses, voices, and identities. Establish criminal and civil penalties for misuse of AI tech",neutral,negative,False,unanimous_negative,"['neutral', 'neutral', 'neutral', 'neutral', 'negative']"
23,Woah chill out teachers,positive,neutral,False,single_sentence,[]
24,Great approach and mindset - thanks 🙏,neutral,positive,False,single_sentence,[]
25,Altman you're going to wreck this world.,negative,negative,True,single_sentence,[]
26,Hindistan. Önce. Halkının. Beslenmesini sağlasın. Törenle. Aç. Kalarak. İntihar eden. İnsanlarını. Kutsuyor,neutral,neutral,True,single_sentence,[]
27,For this dumb woman now all the people who need help with ai will be fked,neutral,negative,False,single_sentence,[]
