id,text,true_label,predicted_label,correct,sarcasm_prob,adjusted,base_sentiment
1,i also think there are a ton of fun ideas from the gpt-4 era that are worth revisiting. what’s the opus 4.5 version of autogpt? if you’re a college student or a night/weekend hacker or something go chase those fun &amp; weird ideas! many high-payoff ideas waiting to be discovered.,neutral,positive,False,0.268,False,positive
2,the omitted part is when AGENTS scrape data from other AGENT ai created slop that is fabricated.... the day no human created content exists to learn from. brilliant dude,negative,negative,True,0.553,False,negative
3,@Ilovepie31 @TenSNeo He is not gojo for sure but that lesson was important hence: it helped him unlock a domain you know.. the thing that's a reflection of your own sense of self... It was strengthening his own sense of self and teaching him to value life more . 266 doesn't contradict that,neutral,positive,False,0.1,False,positive
4,"Or here's a much more brilliant idea: don't do it at all!!! There's a reason we have Sci-Fi movies, to give us lessons to not make such life killing regret later on.",neutral,neutral,True,0.081,False,neutral
5,"They're goin' up, up, up, it's their moment We know together they're glowin' Gonna be, gonna be golden!!! 🎵💛🇰🇷 💜♥️💚",neutral,positive,False,0.106,False,positive
6,"GPT detektors are trash, there is no way to 100% detect if text was created by AI.",negative,negative,True,0.291,False,negative
7,"Experimental wildfire predictions made by AI algorithms have been remarkably accurate with less detection time. Software-defined cameras (SDCs) assisted with AI can predict forest fires locally by detecting smoke. Cal Fire says 40% of fires since July 10 have been detected by AI before a 911 call was received – and the technology is continuing to learn and improve. The system is looking for changes on the horizon, said Alert California's Brian Norton, who spent 35 years in the fire service. Cal ",neutral,negative,False,0.731,True,positive
8,in description he said,neutral,neutral,True,0.179,False,neutral
9,this was pretty eye opening for me,neutral,positive,False,0.14,False,positive
10,"Day 4 of learning ML: Learned about Gradient Descent , an optimization algorithm used to minimize the cost function by iteratively updating parameters (w, b) in the direction of the negative gradient to find the best model. #MachineLearning #Day4✍🏼",positive,positive,True,0.185,False,positive
11,Ai are taking over the world and I will not let that happen!~,negative,negative,True,0.564,False,negative
12,im guessing a way to end the introduction speech,neutral,neutral,True,0.12,False,neutral
13,"And the cycle of nonsense is complete, with no one learning anything.",negative,negative,True,0.397,False,negative
